comment
" 정령탄 과금에 없으면 사냥안될듯?, "
" 언재까지 흑우짓하면서 돈가져다 바칠래 평생 뽑기회사 돈셔틀이나 하면서 살래? 정신차려 뽑기는 항상 ‘꽝’이 많이 나오고 넌 항상 ‘꽝’만 뽑으니까, "
" 그래픽 좋아졌다고 발전한거냐? 이러니 우리나라게임이 하는게임이 아니라 시청하는게임이라고 욕먹지..., "
" 또 몇명이 빚쟁이가 될까..., "
" 뭐 얼마를 받은겨, "
" 그래픽이 좋으면 머하냐? 죹씨게임인데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 죹씨게임은 하는게 아니다, "
" 리니지m을 접하고 넷마블 넥슨은 양반이란걸 알았습니다 믿고 거르는NC, "
" 리니지m보다 더 사행성이 클 것 같다. 이번에는 어떻게 유저 돈 빨아먹을까?좋은 게임같아 보이는데... 현질만 유도하게끔 운영하지 말았으면 좋겠는데...현질 않하고 게임하면 재미가 없겠지요?, "
" 아무리 그래픽 좋음. 뭐하나 현질없이 겜 못하면 스트레스나 받겠지 그렇기에 믿거해야지, "
" 리니지는 게임 자체는 참 좋은데 과금이 너무 개졎같단 말이야 얘도 그래픽은 오지는것 같은데 백퍼 과금러들 위한 게임일 것이라 못하겠다ㅋㅋㅋ 아이온은 그나마 나으려나.. 소중과금은 어느정도 하지만 핵과금은.. 어휴.., "
" 응 안해, "
" 그래봐야 모바일은  패키지 게임 11만원, "
" 리니지2 처음 나왔을 때 다쳐서 휴직 중인 바람에 참 열심히 했었지.엄청난 그래픽에 오픈 월드, 얼마나 재밋던지 ㅎ휴먼 위자드로 초반에 글말과 기란사이에 있던 습지에서 60만원정도 하는 몽크 무기 득템해서 상점에서 팔던 위자드 최고무기 악송을 내가 아는 한, 제일 먼저 샀을 때의 그 기분 너무 좋았지.과도한 현질유도와 캐릭터 당 두개의 직업을 키우게 만드는 등의 컨텐츠 시간 끌기 같은 것만 없으면 좋겠네., "
" NC가 겜 못만들어서 욕먹나, "
" 그래픽은 검사가 나은거 같은데..아닌가, "
" 이까지만 보면 정말좋은데 그 망할놈의 과금시스템이 다조져놓겠지 그래서 이런영상봐도 출시가그닥 기다려지진않는다, "
" 이번영상은 진짜 실망이네요 ㅠㅠ 자칭 게임계의 손석희라고 하시더니 칭찬이 왠말인가요?? 멘트도 들어보면 뭔가 엔씨측에 어느정도 받은듯한 멘트네요..제이님의 게임마다 단점을 까는게 속시원했는데..이번영상은 정말 아쉽네요 ㅠㅠ, "
" 현  ㅡ. 질, "
" 그냥 거의 홈쇼핑 멘트인데요?ㅋㅋㅋ, "
" 제이야속보인다, "
 찌찌보여줄려고올린거같내ㅋㅋㅋ 2
2
" 광고 존나 티나네, "
" 저런게임 앱스토어 플레이스토어에 몇만개는될듯, "
 돈 받았네 돈 받았어 ㅋ제이 특징
" 콘솔이 더 잼잇다, "
" PC로 리메이크 할것이지 모바일로 내버리네, "
" 출시전에는 장점만 보이는거지..출시해야 단점을 찾지..말들 참 많네.., "
" 원래 사람은 변하는 거야, "
" 어떤 게임도 검사모 그래픽 따라잡을 수 없어, "
" 나와봤자.. 어차피.. 돈으로 템 지르고 육성하는거지 여지껏 나온거랑 뭐가 다른건가.., "
" 전혀기대안되네요ㅎㅎnc에 얼마받고 리뷰하시는건가욬, "
" 응엔씨게임안해리뷰가 광고냐 존나웃긴놈이네, "
" 리니지는 쓸만한 장비 들려면 보통 1억 들어간다던데 사실?, "
" 현존하는 최고의 현질게임 예약, "
" 왜이리빠러 숙제냐? ㅉ  빨게없어 ㅉ, "
" 사람이 다른 마음을 먹으면 본인말고 다른사람들은 다 느낍니다 특히 그걸 안하던사람이 그러면 더 티나는법이죠, "
" 리니지 m  보고도 모르겠냐내주위에 리니지 m 해서 몇백에서 몇천 날리고 다접었다 본인도 3000쓰고 1000건져서 나옴엔씨겜해서 괜히 돈날리지 마시구 거르세요 그돈으로  겜기나 몇대사시구저도 도박이라면 치를 떠는데도 투자금이 아까워 계속 뽑는 도박중독에 걸려 2000날림제주위에 이런 사람 많습니다, "
" 난 안하는데.., "
" 캬아아악 퉷!  엔씨는 망해라, "
" 그럼 뭐하나~ 자동사냥에 과금 쩔던데~ 믿고 거름~? 하나 더 ~ 오픈 점검한다에 내 오른손을 건다.넌 무엇을 걸래?, "
" 보면서 너무 오바하시는게..., "
" 폰은 내년에 바꾸시지 ㅡㅂ ㅡ, "
" 개쓰레기겜 돈쳐받고 리뷰하냐 엔씨 망해야대, "
" 원고보고 잃는게 표남, "
" 엔씨의 신의는 이미 땅에 떨어지다 못해 지옥구멍으로 떨어지고잇구나.택진아.그냥좀 꺼져줄래., "
" 그래픽이 아무리 좋아도 사람질리게하는 운영진때문에 누가하것어요.돈에 미쳐가지고 눈에 뷔는게 없는데.잘만들면머함., "
" 응 알겠어 ~믿고 거르는 엔시 게임~!!!, "
" 리니지하는사람은딱 두분류지 ..빙신이던지.돈많은빙싱이던지 ㅋㅋ, "
" 그래서 얼마 받음?, "
" 택진이한테 돈좀 그만 갖다 받쳐라저걸 또하느니 그냥 택진이네 집에가서 머슴을 살어, "
" 넵 현질게임많이하세요, "
" 그만빨어대., .., "
" 믿거 리니지, "
" 타격감? 린2는 정탄발 아님?, "
" 예전에  아이온 나올때만 해도 사람들 빨리  아이온하고싶다고 난리였는데 이제는 사람들 댓글보소 서로 안한다고 야단이네 그러게 택진아 있을때좀 잘하지 리니지m 생각하고 이번게임 내놓는다면 이번엔 넌 큰오산이다ㅋ, "
" PC 온라인게임에서 증명되었듯이  고 그래픽사양은 못만들어서  mmo가 안나오는게 아닙니다 만들수는 있는데 언리얼엔진 대표로 할시에 문제되는 각종버그같은 문제및 제일 큰건 서버렉입니다. 하물며 pc로 그러한일로 실패한 사례고 많고 리스크가 큰데 모바일은 하드웨어가 더 딸리면서 고 그래픽을 구현하고 거기다 오픈필드 대구모 쟁이라...? 불가능합니다 각종 명검에 팅김 끊김 김세트 예상하고 엔씨 특성상 게임이ㅡ아니라 새로운 도박버전이 나온다고 생각하는게..., "
" 개돼지 게임을 이렇게 빨아주는 사람도 있구나 ㅋㅋㅋㅋㅋㅋㅋ 아오, "
" 돈많이버세용, "
" 그래봐야 현질 대마왕 게임, "
" 현존최강?? 언리얼5면몰라도 이미 언리얼4로 나온게임 여럿있어요.영상말고 실제 인게임영상을 보여주고나서나 말하쇼, "
" 검사보다 막그래픽 좋은거도아닌거같은데 ㅋㅋㅋ그냥 린레볼이랑 별차이도 없구만 ㅋㅋㅋ, "
" 개 쓰레기 게임 계속 양산하네, "
" 믿고안해준다 리니지 쓸돈도없고시간도없고, "
" 믿거 엔씨게임, "
" 나는 돈이 썩어서 남아돈다 라고 하는사람들을 위한 게임돈 어정쩡하게 있음 손도 대지마라 !! 팩트다, "
" 결국 어자피 ..노출 +과금 + 강화 +Pk+쟁 + 오토 겜  .., "
" 돈이잇어도 업어도 더이상 이세키들 호구가 데지맙시다!!, "
" 게임 유튜버들도 결국 네이버 맛집 파워 블로거들 하던 짓꺼리 따라 갈거라 예상은 했다... 돈 앞에 장사 있더냐. ㅋㅋ.., "
" 뽑기 또 얼마나 출시할려고?, "
" 사행성 게임이죠? 리니지 사장은 아니라고 하던데? ㅋㅋㅋ, "
" 10억 없으면 할생각하지마라 ㅋㅋ 엔씨겜이 장난이냐, "
" 너나 많이하세요, "
" 얼마나 받았길래 이렇게 빨아주나ㅡㅡ, "
" 게임 아무리 잘 만들었어도엔씨 게임은 절대로 하지 마세요취미는 개뿔, "
" 이쉐키 겜홍보졸라하고 리니지2전문유튜버해볼라고 밑밥까네 겜이 좋아서 칭찬하는게 아니고 지 돈 벌 수단 홍보할려고 하는거보소 아주그냥개호구로보는거지, "
" 먹고 살아야제, "
" 뼈때리지마, "
" 장사하자 먹고살자, "
" 그런거였나요;; 영상보고 개갓겜인줄;;, "
" 사람 사는게 거기서 거기지 먹고는 살아야지, "
" 유투버인데 당연한거 아닌가. 욕은 삼가하시져, "
" 믿고거르는엔시, "
" 실엘, "
" 제이님 핸드폰 뭘로 바꿨나요?, "
" 너무빤다 입금됐나보네., "
" 대한민국 모바일 게임계 발전 많이 한거 같데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 ㅆㅂ 말이냐???기획적으로 영상 만들어서 무작위로 배포하는게 안통하니까 유튜버들 꼬득이고 ㅋㅋㅋ지가 직접 편집해서 영상 만든것도 아니고 NC에서 만들어 준거에 맞춰서 입만 벙긋 ㅋㅋㅋㅋㅋ 아유~ 이런 ㅆ벌 것들 진짜., "
" 뭐냐 이 개떡같은 그래픽은..., "
" 엔씨게임은 믿고 거른다 이게 겜이냐 즐길수도 없고 돈안쓰믄 스트레스 받는 게임 ㅋㅋ 돈을 써도 스트레스 받는 게임, "
" 무슨 죄다 모바일게임 ㅡ.ㅡ, "
" 아 배고파 싫어요 누르고 가여, "
" ㅋㅋㅋ 엔시겜  ㅋㅋㅋㅋ, "
" 백날 저렇게 만들어봐야 또 강화하고 실컷 해놓으면 다시 실패해서 원상복구 되고 반복 ㅋㅋㅋ그지같은 시스템 ㅋㅋ 현질 몇백 몇천은 티도 안나겠지 ㅋㅋ 그짓해서 돈벌려고 만든게임일텐데, "
" 잘만들면뭐해여 엔씨인데ㅋㅋㅋ리니지M도 잘만들었음 과금컨텐츠빼면, "
" 엔씨 겜보다 차라리 세븐나이츠가 훨 낳을수도ㅋ, "
" 그래픽 그저그런데? 영상저렇게뽑고 출시때 프레임드랍드시켜서 출시하는게 엔씨 주특기인디.. 2019년말? 그때출시하면똥돼는거 임 한달이다르게 상승세를 보이는게 모바일시장인데.. 로아보면몰름? 처음 출시예정작일때 사람들은 갓겜이라 빨아댐 질질끌다 이제나오니 그냥그런게임이됌요 ㅅㄱ 믿거nc!!, "
" 핸드폰 까지 ㅋㅋ, "
" 로아보다 그래픽좋노, "
" NC게임은 절대 안하기로 마음먹었다 ㅅㄱ, "
" 응 안해 돈마블 돈슨 돈씨 펄없어유, "
" 뭔 개소리야 해보지도 않고 보지도 않고 영상하나두고 폰을 바꾼대 전문가는 개코나 ㅋㅋ덕분에 구독 두번 누르고 간다, "
" 버스터콜 진짜 지가 무슨 대단한 전문가인냥 말하는거 맘에 안들었는데 이렇게 대놓고 광고하니까 개역겨움, "
" 믿거 린2m, "
" 레볼루션은 어쩌고.......?, "
" NC게임을 하면서 게임 내 표현이나 디테일을 바라고 하는 사람이 누가 있습니까? 그냥 과금요소나 좀 줄었으면 하는 바램이 99프로지 이상한 소리를 장황하게 하셨네.., "
" 돈받았나 ?? 겁나빠네 망한게임을, "
" 그래픽은 쩌는데 ㅋ내 장비로 돌아가려나 근데 왜 요새 죄다 모바일이냐 제대로 된 피씨게임이나 좀 내주지 에휴, "
" 응 꺼저 nc, "
" 돈받은게 아니면 객관적인 시각으로 게임사의 전후과거사를 다루면서 본인의 생각을 얘기해야 리뷰아닌가요? 믿거겜 3N중에 탑인데.., "
" 현존 최강 과금이것징시발것들아 몇달만에 리니지m조단위로 돈을 먹었으니 ㅅㅂ 대한민국 호갱님들 진자 대단하다, "
" 머? 검사m보다 현존 최강그래픽? ?????납득불가 왜이러시냐!제이씨~~내년에 비교해봅시다 아!  광고구나, "
" 와.,진짜 억지로 칭찬질하는 클라스보소 ㅋㅋㅋㅋ, "
" 니가 엔씨 직원인줄 ㅋㅋ, "
" 광고비 받고 빠실거면 광고라고 써주세요 ㅡㅡ PC리마스터였으면 나라도 빨거 같은데 PC는 걍 냅두고 모바일??  택진이 형도 돈에 미쳐서, "
" 아이폰 맥스면 돌아가겟지 나도 바꿧음, "
" NC는 게임은 세계적으로 잘만드는데 운영을 3류 약장사처럼 해서 문제지, "
" 과금 우짤꺼..., "
" 영상대부분이 인게임화면도 아니구만 그냥 홍보용으로 만들어진 cg고  중간에 잠깐 인게임사냥화면 나오는거보면 검은사막모바일보다 못해보이는데요. ㅎㅎ, "
" 씨벌 ㅋㅋㅋ 하다하다가 엔씨를 찬양하는 새끼까지 나타나네;;;, "
" 저건 무조건 해야된다.. 과금 안심했으면 좋겟다..ㅠㅠ, "
" 게임 전문가면 nc에서 나오는 게임들이 어떤 게임인지 알겠는데 그래픽하나 보고 기대한다니 ... 이래놓고 또 과금 유도 하면 과금유도 오진다고 또 까는 영상 올릴거 아냐 ㄷㄷ, "
" 리니지 이터널?  그건 터널 무너져서 안 나오나보네요. . . ㅎㄷㄷ, "
" 와 또 개돼지 되는건가.., "
" 잊은거 있는것같은데 현찰은 몇천에서 억대 준비하셔라고 말해줘야져 ㅋㅋ 그리고 제발 겜리뷰면 도박리뷰는 접고 겜리뷰만 합시다 ~, "
" 엔씨는 유저생각안하고 돈만 빨아먹을 생각하는 곳이지 현질오지게 하게 만들엇겠지, "
" 내 아인값이 여기 광고비로 들어갔네 ㅡㅡ, "
" 리뷰가 오바긴한데 뚜껑은 열어봐여알지 어차피 다운은 받을거잖어, "
" nc 게임 도박 게임, "
" 본 영상에 실제 플레이 영상이 들어가있나요? 제가 볼땐 단순 트레일러 영상같은데 그래픽 평가를 벌써부터... 신뢰가 안가네요, "
" 엔시 게임은 보는겨 손대는 순간에 거덜난다, "
" 얼마받았냐? 과금애기뺏네?, "
" 지랄하고  자빠젔네!  애네들  다  모바일로  출시  한다.   엔씨  망해라!  이런것이나  리뷰나  하고  양산형  리뷰  할빠엔   외국 게임  좋은것  많다  그런것을  해라!  엔씨  망해라    돈받고  리뷰 하네!  너무  빤다, "
" ㅠㅠ 나름 솔직하게 평가하시는것 같아 구독까지 했는데.. 이번에 너무 객관적이지 못하시네요.. 인게임영상이 공개 된것도 아니고..왜 이렇게 칭찬 만하는건지.. 피드백이라도 해주세요, "
" 얼마받았누~?, "
" 모르는 사람이보면 진짠줄알겠넹, "
" 엔씨서 돈마니 받았는갑네 물들어 왔을때 노저어야지 ㅋㅋ, "
" 내가 애기한다. 정령탄 쓸때마다. 현금든다, "
" 유료광고 라고 좀 써주세요., "
" 영상 이름보고 플레이영상이라도 떴나했네...뭐임??, "
" 안쓰럽다..., "
" 자선격투기대회엔젤스파이팅구독해주세요, "
" 원채널이면 렉 오지겠네 말만 폰겜이구나 ㅠㅠ앵간하면 컴으로 돌려야 할듯 ㄷㄷ, "
" 보자마자 개똥망게임 예상이닼ㅋㅋㅋㅋㅋㅋㅋ 과금똥망에 슈퍼고인물씝창겜 예상한다;;, "
" Nc 사기꾼들 졸라 돈써서 강화해두면 얼마않되서 쓰레기 만들고 다시또 돈써서 강화해야데고절대 하지마라  매번 반복이다, "
" 대놓고 광고하네..., "
" 엔씨 게임은 거르고 본다~, "
" 기대는 하나 현질 감당힘들어서 안할 예정, "
" 리니지M 때문에 어짜피 신뢰가 가질 않고 회사도 NC라서 쩝, "
" 저거만 보고있을까요?  겜서는 아닌거 아시죠?  어느정도의 버그와 렉이 나올지 기대하네요 아 제목을 바꾸셔야죠 소개동영상 고화질이라구요, "
" 에휴,,,,,,,, "
" 덴장pc버전이나나오지, "
" 피씨 개망했던 린2 ㅋ ㅋ ㅋ 개노잼, "
" 뭐여 광고였네 엔씨 껨 또 사행성은 없다 시전 하겠지 돈다발 들고 싸우는 게임 아이템 드랍은 없고 상자에서 나오는 게임 거래 할때마다 케쉬 지불 해야는 게임 요즘 나오는 게임은 죄다 이래 RPG의 매력따위 개나 줫다 돈으로 상자 까서 템 맞춘다는거 부터 말같지도 않은 설정이다. 글구 적당히 하자 엔씨 똥고 헐것다, "
" 걍  피시로  나오지던  더  발라고  모바일로  나오는  구나  ㅋㅋ, "
" Nc는 리니지m이후로 안합니다. Pc게임할렵니다. 로스트아크하세요 ㅎㅎ, "
" 또 얼마나 유저들 돈 뜯어먹을라고ㅎㅎnc는 거른다 ㅡㅅㅡ, "
" 뮈이렇게 빨아대냐, "
" 돈 많은 사람만 하는 리니지M...전 슬프지만 거지라 NC겜 손절합니다, "
2
" 얼마짜리 숙제지 ㅋㅋㅋ, "
" NC는 통수를 잘칩니다 절대 속지마세요 저렇게 만들껏같습니까? 리니지때도 교환시스템나온다 했지만 결국은 안나왔죠 말로 해도 실질적으로 하면 통수 맞습니다, "
" 모바일 그만 만들고 피시 버전이나 좀 개발해라 돈에 미친것도 아니고 게임 완성도 그래픽 좋음 머하냐 현질 극 과금 아니면 즐기기 힘든데 진짜 아이온 초창기 까지가 딱 좋았다 그후 엔씨게임은 진짜 에휴, "
" 그냥 솔직히 먹고 살라고 리뷰한다고 쓰라그럼 이해나 하지인게임도 아니고 홍보영상 하나보면서 엄청 빨아대는거 좀 글타, "
" 캐쉬템 얼마나 많을까 ㅋㅋㅋ, "
 검사모 하다가 로스트아크 하고나서 느낀점 
" 디애블로 이모럴, "
" 내가 리니지2를 한 10년정도 했던거 같은데...결론은 하나야....운영이 조 까타서 그냥 쓰레기같아서 성혈이고 뭐고 사람들 결국 다접더라....지금도 가끔들어가보거든? 3달에 한번 인가 접하면 10시간 무료쿠폰이 있어서....오토도 다 접었어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ, "
" 엔씨랑  한겜은 그냥 손 안대는게 답임, "
" 디렉커스 컷이요?, "
" 죄송한데 이거 광고맞죠? 누가봐도 이건 광고영상같은데..., "
" 엔씨소프트 게임은 돈주고 하라고해도 안한다 그지새키들아 피시방에서 리니지1만 16년째 키우고있는대 요즘 왜이리도 주는게없냐? 그래서 망해가는 상황이다 노숙자보다 더한 그지새키들아, "
" NC게임은  NC는...  NC..., "
" 리니지2 클래식 나올때 기자회견까지 하면서 캐쉬템 없을거라고 했었지? 지금 어때? 클래식 캐쉬템으로 호구만들고 이제 유저들 슬슬 떠나니까 다시 신썹내놓고? 에라이~ 적당히 좀 해처먹어라, "
" 그래봐야. 캐쉬게임인데. 이걸 왜하나. 확률형캐쉬템으로 유저들 호구만드는 엔씨., "
" ㅋㅋㅋㅋㅋ  잔고0원이네? 사냥 1시간햇네? 10만원벌엇네? ~~룰루랄라 ~정량탄 이랑 물약사야지!!...어라 잔고 200원남앗네?...어쩔수읍이..현질이군....반복~^^  믿고 거르는 엔시.., "
" 솔까놓고...정령탄 없으면 전투 의미가 없는데...리니지 전시리즈가 정량탄  사다가 돈안모임..장비하나 사려면  현금질  개오짐...이러니..유저들이 떠나지...시작을마라, "
" 상대는nc ㅋㅋ 거래 다이야 몬스터한테 아이템 안나옴, "
" 리니지M에서 그렇게 당했으면서 이거 하면 뭐다? ㄸㄹㅇ다 응 안해~~~~, "
" 이겜 나올때즘 디아블로도 나온다. 린2엠은 망겜각,현질유도는 뭐 말이 필요없겠지. 10만 쓰는데 1분도 안걸림, "
" 근데 디아블로 모바일 나와서ㅠㅠ 아쉽네요, "
" 응 아니야, "
" 어차피 할 넘들 한다 생각하니짜증나네요~ 김택진은 웃기만 할 뿐이겠고..화질은 좋고 다 좋고 과금도 좃고 택지니도 좃고 ㅋㅋㅋ, "
" ㅋㅋㅋ 그래픽은 검은사막모바일 씹어먹고 말해, "
" 돈 받았나, "
" 지금 리니지2보다 그래픽이 더 좋네 하긴 2003년게임 이라는데 리니지2가..., "
" 장담한다 얼마못간다, 현재 리니지m 골수만 남았고 더이상 가망이 없는 이 시점에 저렇게 꿀바른 영상 보여주고 뽕뽑으려는 과금유도, 안봐도 비됴 통수에 통수 오지고 지리고 간다., "
" ㅋㅋ 어차피 피시도 린투보다 린원이 인기있었음 린투는 뭘해도 노잼, "
" 엔씨는 리니지랑같이 망할꺼같다.역대급으로 돈을 처벌어도 결국ㅈ리니지인가?ㅡㅡ 개좋같은  게임 하나로 수조원을 벌지만 결국 또돈이네!시작은 누구나 하지만 한번 시작하면 몇천만원 처발라도 그냥 티도 안난다.차라리 그돈으로 현실에ㅈ투자해라 ㅋㅋ, "
" ㅋㅋㅋㅋㅋㅋㅋㅋ 너무 냄새가 ㅋ, "
" 네 다음협찬, "
" 단점도 알려주셔야죠, "
" 엔씨가 대한민국 돈 다 쓸어 담게 생겼다, "
" 광고비 받으셨나...채널 방식을 없앨게 아니라 가챠를 없애야 사람들이 많이 하지, "
" 너무 오버하시네요 이렇게 오버 할 만큼의 그래픽이 아닌데요? 어느정도 하셨음 공감할 수 있을텐데요 심하게 오버하셔서 불편해요 . 이런분이 아니라 좋아했는데요? 요즘 게임 홍보영상들이 믿을게 없네요, "
" NC카지노 게임을 쳐 하니 ㄱㅐ 돼지란 소릴 듣는거다 늬들 인생 세상 헬조선 탈피 하고 싶으면이런 ㄱㅐ 돼지 스러운 족쇄에서 스스로들 벗어나려고 해봐라 조금만 변화하고 손실 있어도벌벌 떨며 스스로 족쇄를 다시 채우는벼엉신 최강 종족 헬조선인, "
" 별거아닌거에 빠는거보고 바로 거른다, "
" 리니지엠도 현질안하고 해도 할만한데 앵간히들 현질을 해대서ㅋㅋㅋ, "
" 또 린우 제조기인가택진이가 돈독에 미치긴했군, "
" 응 돈없으면 못하는 게임, "
" 드워프는!?, "
" 옛날 pc때 그것만큼 잼나면 진짜 올인한다!!!, "
" 대본느낌이... ㅠㅠ, "
" 돈마블 돈슨 엔씨 도찐개찐 임 ㅋㅋ, "
" 엔시발 게임은 쳐다도 안볼겁니다^^, "
" 우리나라 종족들은 ㅋㅋ 진짜 ps4 대작게임들은 개똥 노잼게임이라하고 온라인 노가다게임은 극찬하는 ㅋㅋㅋ 종족들진짜 ㅋㅋㅋ겜알못들 할말이읍다 ㅋㅋ 열심히 노가다하세요~~, "
" 한달 정액제로 하던 옛날이 개그립네 시부랄거 스마트폰만든 잡스가 원망스러울지경, "
" 현질안하면 못하는게임은 하는게 아님, "
" ㅋㅋㅋㅋ엔씨게임할바엔 걍 게임을 자체를 안하겠습니더, "
" 여러분 리니지m 에서 그렇게 당하고 또 당합니까? 정신차리세요 nc탈은 지능순입니다, "
" 밑고 거르는 리니지, "
" 에휴..., "
" 헐!  리m 나오기도 전에  제이님께서 칭찬하다니  촤하하하  고로  엄청 기대되네요, "
" 까는영상은 양산형처럼 개나소나 다해서 지겨웠는데 오앤만에 칭찬만하는 영상보니깐 신선하네요., "
" 다떠나서  매스 지린다, "
" 게임은 넘 잘만들지만 넘 돈돈 거림, "
" 용이 있음 뭐하냐 ㅋㅋ 상점에서 모든걸 구입 할수 있는데 ㅋㅋㅋ 딱 보니 레불루션 생각 난다  리니지m 처럼 일년 흥행하다가 망하것지, "
" 레어템 개미반지 자켄  코어 오르펜 바이움  프린 안타겠죠, "
" 개반 자켄 코어 오르펜 ㅋㅋㅋ언제적 리니지2 임 ㅋㅋㅋ, "
" 드라셋까지구현 하면 좋겠죠, "
" 크로니클시절부터하겠죠, "
" 현거래될뜻, "
" 광고는 광고라고해라 에휴    다 친창뿐이네...., "
" 임창현 칭찬.., "
" 칭찬오타는 첨보네 살면서..ㅋㅋ, "
" 너무 흥분하신듯 ㅋㅋ, "
" 엔씨 게임 또 현질 오지게 하겟져...이제 사람들 지칠때가 된듯하내여..모바일 손됬던 사람들 과연 지금 머가 남았나 확인해보세여..빈 잔고만 보일뿐, "
" 또 뽑기의 역사를 한번더 흔들어 놓겠군, "
" 린엠도 그렇고 블소도 그렇고 퀄리티 자체가 나빴던 적은 없죠. 엔씨 개발자들 실력 굉장하다 생각하구요. 다만 문젠 언제나 과금. 잘 만들어놓으면 뭐해요 매달 상자깡 도박 뽑기 잔뜩 만들어낼 텐데. 그게 진짜 문제입니다., "
" 전투가 왜 이렇게 경직되어 있지? 아이온처럼 막 돌아다니면서 때려야 재밌는데., "
" 이걸로돈벌겠다?  난안한다 리니지2레볼류션 많은돈쓴건아니지만1천만원 ㅜㅜ개아깝다그돈이면........, "
" 엔씨겜은 거르세요.  린엠만봐도알지않겠음?, "
" 엔시면 현실 무지막지하게 해놨겠네요, "
" 대기업 게임이라고 너무 하네 딱봐도 동영상  퀄리티 말고 게임 플레이는 별거 없구만 모지 리니지2엠 이 얼마나 현질 유도할지 모르나?? 아이템은 다 돈주고 사야 한다, "
" 제이가돈을받건안받건ㅎㅎ상관없고 진짜기대된다, "
" 너무 빠신다 별 거 없어보이는데 ㅋㅋ, "
" 자막에 멘트에 평소랑 너무 다르네 ㅋㅋㅋ 멘트에 맞춤법 하나 틀린거 없는거보니 제공받은 것 같네요, "
" 노유 모른척...우리 그냥...모른척하죠, "
" 네 다음 자본주의 ㅋㄱㅋ, "
" nc매출 매년 감소한다더니 이게 리뷰야 후빨러야 ㅋㅋㅋㅋnc도 카카오처럼 자사 게임 까면명예훼손으로 고소하는거 아녀?ㅎㄷ, "
" 동영상 반응안좋네요 조만간 삭제할듯..., "
" 지렸다ㄷㄷㄷㄷㄷ이건꼭해야함, "
" 아인하사드 ㅈㄹ에 강화 사행헝상자 캐시 등.. 등꼴 오지게 빼먹을게 뻔한데 제이님 돈 받으신건가..? 실망.. 엔씨는 믿거인데 무슨 소리 하시는거예요.. 지나가는 개도 아는사실인데.., "
" 김뚠뚠 엔씨게임만큼 재미있는게임이없죠 ㅎㅎ 사람들 개몰릴텐데 딴게임들 다망할각, "
" @1106& 0502& ?, "
" @1106& 0502& 뭐가재밌어 븅신아ㅡㅡ, "
" 조인규 뷰웅신아 먼게임이재밋냐 요즘 재미잇는거하나도없구만 이거나쳐해 개벌레새키야, "
" 1106& 0502& 안해 시벌럼아, "
" 엔씨게임좀빨지마라ㅉㅉ리니지m출시6개월만에 매출1조달성이란다.유툽.BJ들이 현질조장등으로 올린매출이다.이러니 국산게임이 빠찡꼬에빠져서 발전이없는거다., "
" 게임 줜나잘만들었음 ㅇㅈ함방향이 줮같아서그렇지, "
" 로아 접음?ㅋㅋㅋㅋ, "
" 믿거 엔씨, "
" 리니지처럼 죽으면 탬떨구고 경험치 떨구고 하나요?, "
" 존나 빠네 역겹다M은 지금도 앞으로도 할생각없다M=머니게임성은 없고 머니만 빨아먹는 거지같은3N게임, "
" 얼마?, "
" 저정도 그래픽에 오픈필드면...과연 렉이...안걸릴가...., "
" 과금이 뻔하다!!!! 안해, "
" 스마트폰으로는 게임 돌아가지않을듯. 그런데 넷마블  리니지2레볼루션은  머가 되냐 ㅎ  망겜 되려나, "
" 폰게임이 스마트폰으로 안돌아 가면???? 어디로 돌아감??, "
" 모모로 해야죠, "
" 어차피 뽑기 현질 오지는 게임인데...전 안할래요, "
" 현질 오지는 게임... 돈받고 제작했나보네ㄷㄷ, "
" NC소프트 게임은 다시는 손 안댈겁니다.아무리 할 게임이 없다해도 죽었다 깨어나도 NC소프트는 믿고 거릅니다., "
" 김경훈 엔씨겜은 항상1위, "
" 맞아요  망해야  함!  양산형  겜, "
" 과금 유도를  잘하긴 하는데  그만큼 잘만들고 잘한다는 소리겠죠 엔씨 운영방식은 욕해도 엔씨  게임을 욕하는  사람은 없음  그만큼 중독성 강하게  사람의  심리를  잘이용해  만든거죠, "
" 과금 유도 존나해도 재미없으명 누가질러 ㅋㅋㅋ 안그래?, "
" 나는 돈이 썩어서 남아돈다 라고 하는사람들을 위한 게임돈 어정쩡하게 있음 손도 대지마라 !! 팩트다, "
" 돈많이들거같긴한데 엔씨가 겜은 너무잘만듬, "
" 걸러라 난한다 과금유도 많아도 재밋으니 지르면서한다, "
" 겜을 잘만들면 뭐함? 현질은 둘째치고 운영이 개판인데? 블소는 못만들어서 지금 이꼴남? 운영이 개판이라 겜을 망치고 망겜이되는거지 그리고 엔씨 게임 잘만드는거도 옛말이지 최근에 뭐 대단한 작품 나옴? 예정작들 목록 보면 모바일로 개돼지들 수금이나 할 생각이던데, "
" @깡통 운영도 게임의 재미에 들어갑니다..레벨디자인에 포함이 되니까요..즉 잘만든다고 할 수 없습니다 게임은 팀플레이죠, "
