date,fulltxt
2019.02.24. 20:39,구매상품 표기 오류표기 오류 이거 뭡니까.카드첩 안나옴.구매하니까 덜렁 모라주화만 나오넹
2019.02.24. 16:49,ㅅㅂ  폭죽교환 언제까지라고 적어놓던가다짜고짜 교환안되면 어쩌라는거야?장난하냐
2019.02.24. 12:49,"이벤트 아이템 사용기간은 아이템에 좀 표기 좀 해주세요.폭죽 같은데, 표기하면 되잖아요. 이달 말까지 인줄 ?알았는데. ?게임 거지 같아. 게임 내에서 카페로 바로 접근 못하게 했으면 주요 공지 내용은 게임 시작할 때 뜨는 창에 알림 좀 하세요."
2019.02.23. 21:13,집사퀘스트 용병퀘 버그...유저아이디 ::?4305049066집사퀘스트 말랑도용병퀘스트 버그 해결 바랍니다.고객만족센터 이메일 접수하면 호구로 보는듯...다들 볼수있게 게시판 올려요본케 부케1 부케2로 다 ?퀘스트 완료해보고해지했다가 해보고(전케릭)유료고용(전케릭) 해봐도 안됨두가지방법할때 로그아웃도해봄전혀 반응없음다들 힘빼지 말고 전화하세요..월요일엔전화도 하보려함..
2019.02.23. 15:02,집사 진급퀘 용병냥이 안된다고 몇달을 말했는데검색도 해보고 처음엔 사진첨부에괴지랄을해서 열성을다해 건의해도피드백도 없고 그냥 두는거임??그렇게 버그 고치는게 어려움??
2019.02.22. 18:18,빌귀삼 가격좀 벨런스맞게 안됨?아니 15가 10억가까운데스피릿 은 2억5천이야 심지어 합성이아니 지르타스드랍율좀 올려야되는거아님 가성비란게 잇는건데 ㅋㅋ이거 어렵나요? ㅋㅋ 생각이? ㅋ
2019.02.21. 13:14,라그나로크m 운영진님. 이것좀 고쳐주셨으면 합니다만..오류가 이렇게 떳습니다. 이런 오류 고쳐주셨으면 좋겠습니다!선조 부탁드립니다 운영진님..
2019.02.21. 10:42,법사 이동 스킬니플 초월퀘하다가 암걸리겠어여 법사 이동 속도 어떻게 할 수 없나요?지팡이라도 타고 날아 다니게 좀 해죠요 이동 스킬 어떻게 못 만들어요???
2019.02.21. 09:47,제발 성별전환이벤트좀 해줘요~~~ㅠㅠㅠㅠ성별전환 이벤트좀 해주세요~~ㅠㅠㅠ
2019.02.21. 08:31,아놔 잣같아서 게임 못해먹겠네..신발 제련확율을 어떻게 해논거냐!!눈에 뛰게 아주 너프를 해놨고마..강아지들.. 4에서 때렸다 하면 다 3빨망이여
2019.02.19. 18:57,솔직히 제련확률 내렸죠??말도 안되네 진심 ?어찌 연속으로5번이나 빨망이뜨는거에요??
2019.02.19. 17:11,"그라비티랑 카프라는 개돼지인가??v30을 사용하는 유저로써 진짜 빡침이 이만저만이 아니다.1:1문의를 해도""개발팀에 전달했으니 내 할일은 끝이야. 개발팀이 무능한거니까 참고 기다려"" 이런식의 답변만 오고 유저들이 올리는 건의글, 버그글 싹 다 무시하고돈버는것들은 아주 꾸준히 내놓고, 버그도 자기들 밥줄에 영향가는것들은 칼같이 잡아내고 나머지는 나몰라라이렇게 운영을 개판으로 하는곳이 있을까??? 눈막고 귀닫고 돈뽑아먹다가 쓸모없어지면 서버 닫으려고 그러나??그나마 갓겜이니까 유저들끼리 소통하면서 게임이 유지되는거 같은데 좀 느끼는거없냐???무능한 개돼지들이 그라비티랑 카프라인건가??? 운영 ㅈ도 할줄 모르는 애들 다 나갔으면좋겠네진짜..님들 나만 불만 이렇게 많은거 아니지???"
2019.02.19. 13:46,라그인벤에 돈좀 쓰세요인벤 유노이후로 업뎃이 안됨;
2019.02.18. 00:37,이미르 삭제전셋팅 저장된거 고칠려고 하다가 모르고 초기화 눌려서 셋팅 계속 날려버리잖아요!!!!삭제이전셋팅 몇시간동안만 기록되게 해줘요...짜증ㅡㅡ
2019.02.17. 22:59,입찰확률은 어떻게되는건지 확률  그런거없나여?머 입찰해서 되는게 없을가여?
2019.02.17. 14:12,모헙 스킬중 계정 공유스킬 모헙스킬중에 계정공유로 배운 시공의 균열(이미르서)을 배운 캐릭을 삭제 하니 다른 캐릭이 못 쓰게 되네요. 계정 공유라는건 어떤 캐릭으로 배우든 쓸수 있어야 하는거 아닌가요? 아르바이크 +1 더 해 주는것도 공유 스킬인데 그것도 배웠는데 그건 스킬창엔 없는데 4/3으로 할수 있게 되어있고 그럼 이건 버그인가요? 만약 배운 캐릭을 삭제 해서 남아 있는 캐릭 스킬창에서 사라지면 배울때 쓴 제니를 그 남아있는 캐릭한테 돌려줘야 하는거 아닌가요? 만약 2캐릭이 남아있다면 계정당 1번만 받을수 있게 선택해서 받는 방법이라든지. 이건 반만 계정 공유라는 건가요? 계정공유라고 하면 그 계정에 포함 되어지는것이지 배운 캐릭 삭제 했다고 계정공유가 사라진다는게 이게 맞는 상황인가요?
2019.02.16. 18:00,카페보면 악재판다고 글 많은데 운영 생각 없으시나요?뭔 게임이 아이템팔려고 현금까지 쓰면서 해야되나요거래소 템 올릴때 가격도 조정 못하고 너무 비싸서 못사는 사람도 많고 못파는 사람도 많죠템 정리하고 제니 있는거로 악재 구매하면서 게임 떠나시는 분들이 있어서 그나마 템 팔고 하는데솔직히 운영도 잘 못하는거 알고 게임상 뭐 만지지 못하는거 아는데거래소 시스템을 개선을 하자고 중국쪽에 건의를 하던지 아니면 거래소 5번이상 올려서 안팔리는 아이템은?카프라가 거래소 가격으로 구매를 하던지 하는 무슨 방식이 좀 있어야 되지 않을까요??카페에 악재 관련 사고 파는글도 많고 악재 관련 사기도 많고 저 또한 악재 팔려고 난리치다가?하도 답답해서 그냥 적어봅니다?카프라는 어차피 안 읽고 이런 글이 올라온지 모르겠지만 그냥 적었습니다제발 쫄딱망해서 사람들 과금한 금액 전액 다 환불하는 사태가 발생하길
2019.02.15. 19:46,파리타다 워프능력없는건 알지만 파리날개 쓰다가 워프좀 안타지게 말이라도 한번 해주십셔 카프라성님 ㅠ
2019.02.15. 12:53,"카프라 성님 인간적으로 확률ㅈ망겜은 좀 아니지 않숩니까ㅠㅠ돈을 갖다 쳐발라도 스펙업이 안 되고 운빨ㅈ망겜은 솔직히 아니지 않숩니까?보카도 이제 제작템이 되서 운빨ㅈ망겜에거 약간 탈피했는데, 초호기, 데비루치, 금마제, 울트라, 페가리, 루도르기니도 프레이코인으로 살 수 있게 해주십셔...초호기, 데비루치, 금마제, 울트라 같은 놈들 프레이코인 200개페가리, 루도르기니 같은 놈들은 프레이코인 500-1000개로 산정하면 핵과굼러도 언젠간 뽑지 않겠숩니까군디... 더 중요한건...시부엉 나도 좀 당첨 되보자 ㅈㄱㅌㄹㄱ"
2019.02.15. 04:53,CD플레이어 아이템 만들어라.노래듣는다고 하루에 한시간씩 세워놓게 할바에 휴대용처럼 만들어서사냥중에 틀어서 피로도 회복할수있게끔 해줘라 사람 벌세우는것도 아니고대체 왜 무의미하게 한시간을 그냥 세워놓냐
2019.02.14. 19:49,기도카드 초기화 캐쉬템좀 만들어주세요꼭 살께요 제발 만들어줘요 그라비티
2019.02.14. 09:38,"버프 시간 분단위로좀 다시 바꿔줘요 1시간이나 1시간59분이나 똑같이 표시되는게 말이나 되는지할거면 시,분?다 표시해주던지 빙구같이 개발을 해놨어"
2019.02.13. 19:37,성속성 암속성석도 만들어 주세요~4대속성석만있고 나머지 없는 거 불공평한거 아닌가요?니플에서 성속성 증뎀석 만들고 어차피 성속성몹도 나올건데..블랙다이아몬드/홀리워터(가명) 같은 성암독 속성석 만들어 주세요~너무 뜬금없나 -_-;;?일이년뒤면 아무도 안할거 미리 만들어주삼 ㅋㅋ
2019.02.13. 18:03,세이지 스킬좀 개선해주세요속성사냥할때 이짓거리를 일일이 해야됨
2019.02.12. 17:13,모험수첩 명소열면 팅기는거 처리부탁드립니다명소만 열면 팅겨서 접속종료 되요
2019.02.12. 09:20,카프라님 신년갸챠628짜리 문의욤!!유통기간 확인 못해서...2월 말까진줄 알앗는데이제 안파네여2월 가기전에 재판매 안될까요 ㅠㅠ 젭알
2019.02.11. 20:43,카프라는 오전에 있었던거 공지 안 하나요?카페 관리만 하느라 몰랐나 ㄷㄷ그냥 번역가 내지 전달자인건가..??하긴 모르는 사람들 많을테니 괜히 공지해서 글어 부스럼없게 하는거임?사소한거라도 좀 유저들에게 정보 전달좀 해주세요~
2019.02.11. 18:22,기간제템에 삭제시간 넣어주세요이벤트템이나 삭제기간이 있는템들 내용에 삭제시간 좀 넣어주세요.인벤에서 바로바로 볼수있게.템이 많아서 언제 없어진지도 모를때 있는거 같아요
2019.02.11. 15:07,자판기 요구조건 좀 낮춰주세요마의 구간 ..송곳니 너무 비쌉니다.?13개 요구는 너무 한거 같고반절로 줄여주면 젛겠어요 진입 장벽 좀 낮춰주세여아니면 건물 동시에 올라가게 좀 해주세여...ㅣ
2019.02.10. 15:31,집사퀘 용병냥이퀘 안됩니다 빠른조치바랍니다아이디: 4305015054집사퀘 용병냥이퀘하나  남겨뒀는데 퀘다햇는데도 완료안됩니다.  고용해제햇다 다시도해보고 별다해봣는데 안되요 완료처리부탁드립니다.
2019.02.10. 11:26,RO포RO포 동결시켰었으면 그 시간을 늘려줘야죠ㅠㅠ나쁜 사람들
2019.02.09. 18:39,에르늄 합성 쪼개기 만들어 주세요 ㅠ합성이 되면 쪼개기도 되야하는거 아닙니깡 ㅠ
2019.02.09. 14:00,"무탑,카던 그 주에 다녀왔는지 확인 하는 방법좀..무탑이나 카던을 그 주에 그 캐릭이 다녀왔는지 확일 할수 있는 방법을 만들어주세요.대표적 mmorpg 와우를 예를 들어보면 /공격대정보 라고 치면그 주에 내가 다녀온 던전이나 이런거 나옵니다.?매주 한번만 보상을 받을수 있는 카드던전(초,중,고), 무한의탑 같은 컨텐츠는이 기능이 있어야 한다고 봅니다."
2019.02.08. 17:31,공지좀 새로써줘아니 공지를 우리가 잘 볼수있게 해줘야지그냥 딸랑 (수정) 이따구로 쓰면 우리가 수시로 확인해야돼??그냥 새로 글써서 유저들이 볼수있게좀 써줘
2019.02.08. 09:19,창고에서 물건빼고 넣기가 너무불편합니다.창고에서 밑에물건을 빼면 위로 올라가는데 다시내리고 하나빼고 다시내리고 하나빼고 이건 당장고쳐야됩니다. 그리고 창고에서 물건뺄때 선택해서 여러개한번에 빼기 기능 추가좀 조속히 해주세요. 너무불편해요. 많은 유저들이 원하고 있는데 조속한 조치부탁드립니다.
2019.02.08. 07:07,게임내 욕설유저 제재 부탁드립니다.내용 무
2019.02.06. 09:37,집사퀘 용병냥이 퀘스트 오류아이디 4305004592고집사 승급미션 '말랑도의 용병냥이'출발버튼 누르고 뭘 다해도 안깨져요처리부탁드립니다.
2019.02.05. 11:21,"이젠 결제를해도 고양이코인도 안줍니까ID:42950157502월5일 11월09분 11,000원 결제...고코는어디?재접속해도없고 11분째 미수령...모바일게임 그렇게 많이해봤지만 결제해도 템 안주는경우는 처음보네요"
2019.02.04. 22:00,용병냥이 퀘스트 미완료 건닉네임? UlyssesID? 4304839798집사 승급 고양이 네마리 시험 모두 통과하고고객센터 문의하고 아무리 기다려도 답이 없어서하도 답답해 부캐 만들어 4마리 시험 다 통과 했는데여전히 안 됩니다. 완료 좀 시켜 주세요.
2019.02.04. 14:57,집사승급퀘 말랑도의 용병냥이 완료안됩니다집사 성장미션 첫번째 말랑도의 용병냥이 완료가 안됩니다캐릭은 이틀전 만들었고 용병냥이의 시험퀘스트 완료했는데도 성장미션은 진행 안되고 있습니다ID 4305003391 입니다빨리 처리해주시죠
2019.02.04. 12:36,제니로 고가템 제값받게 뭔가 조치좀 해주쇼 라그인생좀 뒤집어보게황도카드 1400이 말이여 방구여카드라곤 코볼트말곤 먹어본적도없다가황도카드쳐먹고 순간 꿈인줄알았음근데 팔수가없어요 계정거래하라는건아닐거아니요
2019.02.04. 10:34,제발 성별전환 이벤좀 해주세요~고코라던지 팔던가 설날이벤트로 좀 해주십쇼~~
2019.02.04. 05:17,648코인 템 또 해제안됩니다한번에 되는게 없어....
2019.02.03. 14:41,용병냥이 집사퀘뭔 퀘스트 미션을 이따구로 만들어둡니까유저 아이디 4304503807집사퀘스트중 용병냥이 퀘스트 1회 완료미션깨려고 냥이4마리 다 완료하고별짓 다해도 안깨지네요?저만 안되는건가했는데.. 남들도 그러다가 건의글을 올려야 완료처리를 해준다네요??미션조건이 건의게시판 올리는 퀘스트를 만들어두셨군요자~이제 올렸으니완료처리해주세요~
2019.02.03. 09:52,아이템단축창 좀  늘려주세요!!제발 자동스킬창처럼아이템단축창도? 스왑 가능하게좀 만들어주세요!!어려운거? 아니잖아요...
2019.02.03. 01:15,고성 집나간타미좀돌아오게해주세요..!!악마의날개를아직도 못얻었어요ㅠ타미가4개월지낫는데도안나타나네요언제좀고쳐쥬실건가요..!!!!
2019.02.02. 21:57,초호기 얻을 수 있게 해주세요코인경매장은 안될거니 차라리 연뽑을 한번더 해요상자 0.02퍼로 나오면 죽여버릴거야
2019.02.02. 17:05,이걸 왜 바꾼거죠?소켓 뚫을 때 빨망으로 못 뚫게 왜 막은거임???아니 제련이 존나 잘 되는것도 아니고 제련하면 다 빨망인데 이제 소켓까지 못뚫게 하네 ㅁㅊ
2019.02.01. 23:47,운영자 봐라설연휴 놀생각말고 서버 관리하자
2019.02.01. 16:18,카프라님 부디 공지 좀 다시 정리하면 안될까요?진심 농담아니고 대만섭 공지 가서 보면지금 있는 내용보다 더 있는데 공지 다섯개인데?무탑 기부 두배설날 코스튬 판매까지 따로 또 올리시면열두개 될 기세에요.?이벤트 생각안나서 찾으려면 글이 너무 많아서찾기가 힘듭니다.?인게임에 무슨 안내가 있는 것도 아니고카페에 저처럼 자주 들어오지 않는 사람들은너무나 불편할것 같네요.?돈주고 파는것만 팝업 띄우지 마시고?이벤트 안내도 좀 잘 해주면 좋겠어요.게임안에서 진행 중 이벤트 볼수 있다면가장 베스트겠지만거기까지는 기대도 안합니다...
2019.02.01. 09:51,좀 의상 가방좀 만들어줘 팔아 먹고 끝이가.. 가방 공간이 없다..개인창고 이미 오래전에 풀이다..모험스킬 풀이며...좀 의상 가방좀 따로 만들어줘 아이템만 죽죽 만들지 말고.
2019.01.31. 17:02,와..진짜 너무하네빨망 소켓 머하는짓인지돈 다날렸네...;;게임도 열심히 하고 과금도 열심히 했는데진짜 이제 못하겠다이런 게임에 몇백을?부은건지미련없다 대충 무과금하다가 접으련다
2019.01.31. 12:18,연가챠 수리킷 연가챠 뽑기로 뽑은 의상들을 수리킷 만들어주세요 제발?어ㅏㄴ밀먼;아ㅣㄹ먼ㅇ라;ㅣㅓㅁㄴ라이;
2019.01.30. 14:48,v30  터치씹힘 또 생겼넹한동안 고쳐진줄알고 잘되었는데 어제이후로 또 생겼네 보탐할때 파리만눌러보면 앎중간중간 파리가 씹히는게  아오
2019.01.30. 10:37,이넘들 빨망소캣 복구할 능력도 없을거임..그러면.. 최소한 유저들에게 미안하다고 정식으로 사과라도 해야는거 아닌가요?저딴식으로 공제 한줄 띡 추가해서 수정하면 끝날 일이라고 생각하는지요..진짜 유저들을 머라고 생각하는지 모르겠네요..
2019.01.29. 22:08,게스트 계정 거래소 이용불가/ 로포 4일 후 동결해제/ 빨망템 소캣 재료 불가아무리 작업장을 막겠다고 안돌아가는 머리를 쥐어짜서 꼼수 쓴 걸로 밖에 이해가 안 갑니다만특히 뒤에 두개는 유저의 편의조차 완전 다 막아버리는 폭망 패치 아닙니까? 아무리 그렇다고 해도 이건 기존 유저들 다 피해보는 득도 안되는 내용이며 장기적으로 신규유저들이 템 맞추는데에도 엄청난 장벽이 될거라는건 불보듯 뻔하지 않숩니까? 빈대 잡는다고 초가 삼간 다 태워먹겠네요.게다가 이러한 중요사항을 모두 패치 후 공지하는건 겜하지말라는거랑 똑같지 않나요?
2019.01.29. 21:31,손상된 재료? 소켓불가? 대단하십니다.2019-01-29(화) 14:00~18:00?항상 목요일에 하던 업데이트를 화요일에 하는 것도 웃기고 시간도 매번 하던 시간(8시~12시)이 아닌 14~18시에?업데이트 한다고 하루 전날 올리고 대단하십니다.?거기다가 손상된 재료가 소켓에 사용하지 못한다는 것은 이미 손상된 재료를 가지고 있는 사람들은 기만하는행동입니다.?업데이트 공지와 동시에 패치노트에 내용만 기재했어도 이런 문제가 발생되지 않았을 거란 생각이 듭니다.?이번에 손상된 재료가 소켓재료에 사용되지 못하는 것은 차후 공지를 통해 패치할 부분이라 생각되는데?중국서버에서 진행하는 에반게리온 콜라보 연가챠를 통해 유저들로부터 과금유도를 위해 급하게 중국서버 클라이언트의 에반게리온 소스를 불러드리면서 손상된 재료가 소켓재료에 적용되지 않는 패치사항도 함께 넘어온 것으로 추측됩니다.?아마도 그라비티는 에반게리온 과금시스템을 돌리기 싫을 것이고 손상된 재료가 소켓재료로 사용되는 것은 복구되기힘들어 보입니다.?뒤늦게 공지사항에 패치노트에 내용을 추가하는 것이 먼저가 아니라 사과가 먼저입니다.?제대로 된 사과와 보상을 요구합니다.
2019.01.29. 21:20,"빨망 소켓 문제 조속히 해결바랍니다4해당 내용은 적어도 1~2주 전에는 공지가 되었어야 할 내용이라고 판단됩니다..유저들의 게임플레이에 지대한 영향을 미칠 수 있음에도 불구하고,?도대체 무슨 생각으로?잠수함 패치후 공지에 수정 문구만 띡 한줄 추가했는지 전혀 이해가 되지 않습니다.빨망 소켓에 관련된 부분을 원래대로 돌려놓고, 그에 맞추어 공지 후, 최소 2주 이상의 유예기간을 유저들에게 주는 것이 올바른 방향이라고 생각됩니다.?조속히 해결부탁드립니다."
2019.01.29. 21:19,"빨망 소켓 문제 조속히 해결바랍니다3해당 내용은 적어도 1~2주 전에는 공지가 되었어야 할 내용이라고 판단됩니다..유저들의 게임플레이에 지대한 영향을 미칠 수 있음에도 불구하고,?도대체 무슨 생각으로?잠수함 패치후 공지에 수정 문구만 띡 한줄 추가했는지 전혀 이해가 되지 않습니다.빨망 소켓에 관련된 부분을 원래대로 돌려놓고, 그에 맞추어 공지 후, 최소 2주 이상의 유예기간을 유저들에게 주는 것이 올바른 방향이라고 생각됩니다.?조속히 해결부탁드립니다."
2019.01.29. 21:17,"빨망 소켓 문제 조속히 해결바랍니다2해당 내용은 적어도 1~2주 전에는 공지가 되었어야 할 내용이라고 판단됩니다..유저들의 게임플레이에 지대한 영향을 미칠 수 있음에도 불구하고,?도대체 무슨 생각으로 잠수함 패치후 공지에 수정 문구만 띡 한줄 추가했는지 전혀 이해가 되지 않습니다.빨망 소켓에 관련된 부분을 원래대로 돌려놓고, 그에 맞추어 공지 후, 최소 2주 이상의 유예기간을 유저들에게 주는 것이 올바른 방향이라고 생각됩니다.?조속히 해결부탁드립니다."
2019.01.29. 21:11,"빨망 소켓 문제 조속히 해결 바랍니다.해당 내용은 적어도 1~2주 전에는 공지가 되었어야 할 내용이라고 판단됩니다..유저들의 게임플레이에 지대한 영향을 미칠 수 있음에도 불구하고,?도대체 무슨 생각으로 잠수함 패치가 되었는지 전혀 이해가 되지 않습니다.빨망 소켓에 관련된 부분을 원래대로 돌려놓고, 그에 맞추어 공지 후, 최소 2주 이상의 유예기간을 유저들에게 주는 것이 올바른 방향이라고 생각됩니다.?조속히 해결부탁드립니다."
2019.01.29. 17:02,물약이나 나비파리 놓는 창도 좀 늘려주세용스킬창처럼 되게 비나이다
2019.01.28. 18:49,"아이패드 3세대 11인치 해상도 지원좀 해주세용나온지 몇달 된 것 같은데 ,,,언제쯤 지원가능한지 알수있을까요?"
2019.01.28. 14:35,집사퀘스트용병냥이 시험통과하는거 미리깨서 그런가 깰수가없는데이거 어떻게하나요
2019.01.26. 23:55,딜 테스트 건의샌드백이 부족하다~~~~~~~~~~~!!!!?프론테라 허수아비 ?딸랑 3개??다들 딜 테스트 할때 찾는 묘르닐산맥...?시발 플로라가 무슨죄냐 맨날 처맞고개불쌍??유저들 딜 테스트 좀 제대로 할 수 있게종족 속성 크기 별로?다양한 허수아비가 있는?허수아비 존 좀 만들어주라
2019.01.26. 09:27,다음번 업데이트에서 헤어 상품 개발 부탁드려요~ 라그는 아기자기해서 이용자분들이 많이 즐기시는거 같아요헤어스타일 종류를 조금만 더 늘려주실수 없을까요
2019.01.25. 15:47,니벨룽겐좀 팔아주세요!쓰잘때기 없는거 그만좀 파시고...
2019.01.24. 11:21,공용창고 모두 꺼내기 기능 좀 만들어 주세요 매번 공용창고 넣고 하나씩 빼기가 너무 힘들어요 임시 가방처럼 모두 꺼내기 기능이 있었으면 좋겠어요
2019.01.24. 11:19,안쓰는 템 리뉴얼 같은거 한번하면 좋겠네요게임의 자유도와 다양성을 위해서안쓰는템들 리뉴얼 한번하면 좋을텐데요.물론 이미 투자한 사람들에게 피해가 가지 않도록기존 0티어 장비들을 만지거나밸런스 파괴적인 리뉴얼말고..최소한 특색이 있어서 쓸만한 정도로만요.이거 쓰면 특이한 빌드 되겠다 싶을정도..??대표적으로 사시미같은 칼도 있고..소울바이트같은 지팡이도 있고..너클계열도 쓸모없는게 많잖아요.?리그오브레전드도 시즌마다 템과 챔피언 리뉴얼을 하는데라그도 스킬 및 템 리뉴얼이 한번되면 좋을거 같아요~
2019.01.22. 21:48,공성 게시판 만들어주세요......카프라님 혹시 투잡 뛰세요?짤......렸나요? ㅠㅠ게시판 하나 추가하는거 1분도 안 걸릴텐데 추가점 제발 추가점..팁게에서 공략 팁만 보고 싶은 소망공성 게시판에서 매일 투닥하는거 보고 싶은 소망..
2019.01.22. 18:32,"뎀증룬 19개, 패널티 감소룬 3개있는데도 개쓰레기인 스킬마그누스엑소르시스무스저장마공 1000 초중반대에 뎀증이라는 뎀증 뻥은 다 끼고 바포랑 다로 쳐도 1.5초당 1틱들어가는게 330만임.다른 몹은 20만 밖에 안 들어감.이게 뎀증룬 19개에, 패널티 감소룬 3개 있는 스킬이 맞숩니까?아무리 생각해도 빡치네... 무기 단품만해도 160만제니인데이거 15강해도 티당 400만 안 됨... 스트별 3장 끼고 통찰 마정 다 둘러야, 다로 바포에게 400만 박히겠다.구라비티님덜아 이게 게임입니까? 상향 좀 합시다 시부엉"
2019.01.22. 01:38,세로모드 만들어주세요스피릿위시 해보며 제일 부럽던게 세로모드였네요.채팅하면서 사냥하는게 가능해서 좋았어요.라그m도 세로모드 있으면 사냥할때 채팅하기 좋아서 더 재밌어질것 같네요.
2019.01.21. 13:40,건의게시판 없애주길 건의합니다.근1년간 건의사항 올라온거 단 한개도 개선 안됐는데그냥 없애면 자유게시판에 올릴테니 카페활동도 더 활발해보일테니?개이득인부분입니다 18
2019.01.20. 09:17,아지트 음악켜면 마을에서도 켜지게 공유말그대로 아지트 음악켜면 마을에서도 켜지게 공유하기사람이몽땅 채널1로 모였는데? 길드 아지트에서 음악켜면 동일채널의 프론남문에서도음악이 공유되게 하면 채널1로 몰리는게 해소될거라 봅니다근데 뭐 이거 버그도 안고치는데 건의는 코빼기 1도 안보고? 담당부서 전달했다고 무소식인게 분명기대안함 바이2
2019.01.20. 00:21,고목나무가지 5개 합성하면 피묻은 나뭇가지로?!오리데오콘처럼 합성해서 쓸수 없을까요
2019.01.19. 08:29,퀘스트가방 내 물품 팔리지도않고 꽉차서 인벤으로 튀어나옴처리안함?
2019.01.18. 16:12,"게임내 카페 아이콘 설정관련이 글을 신경써서 볼까? 건의에 대해 해결하려는 노력을 할까? 하는 의구심이 들지만, 혹시나 하는 마음에 건의합니다.기존에 게임 내에서 카페 아이콘으로 공카 글을 볼 수 있었는데요, 패치하면서 이 기능이 사라졌네요.자사돌리거나, 발할 지도 볼 때 유용하게 사용했는데, 왜 없앤건가요?이 아이콘이 거슬린다는 건의 때문에 없앤거라면 on/off 기능만 추가해도 충분할텐데요.두번째 글 한줄로 건의에 대한 모든 설명이 됩니다.. 그러니 자세한 내용 확인을 위한 스샷 요구라던가,성의없는 개발팀에 전달하겠다는 답변 말고, 된다/ 안된다,? 안된다면 이유가 무엇인지 명확한 답변 바랍니다."
2019.01.18. 15:04,민스트럴 독주시 다른스킬 사용좀 하게해주세요.독주중에 발칸이랑 뮤지컬만 나가고 서비어는 안나가는이유가 뭡니까 ㅠㅠ 공격스킬들은 다 쓸수있게해주세요 ㅠㅠ
2019.01.18. 12:38,"건의사항]불법프로그램 애드온 차단부탁드립니다. 동영상첨부!불법프로그램(애드온사용) 영상입니다.https://youtu.be/Aay8dsK8-jo그라비티에서는 빠른 처리로 사용못하게 해주시기 바랍니다.팩트 - 무한파리, 전체맵(줌기능) 등등.많은분들이 카피해서 이글을 올려주시면 그라비티에서 조치에 들어가지 않을까 합니다.라그나로크m을 계속 하기위해서는 불법프로그램을 무조건 막아야 합니다.빠른 조치바랍니다."
2019.01.17. 16:28,작년 11월달에했던 문상주는이벤트 아직도 문상이 안왔어요저만그런가요..
2019.01.17. 14:43,공성&PVP 게시판 만들어주세요.생각해보면 당연히 있어야 하는 게시판인데.. 없으니 팁게에 자꾸 공성 PVP 관련 게시물이 올라오네요.라그온처럼 카페 내에서 결과나 랭킹 알려주는 건 바라지도 않으니그냥 유저끼리 게시물 올릴 수 있도록 생성만 부탁드립니다.
2019.01.17. 00:27,곰타는거 한번에타질수있게 부탁드려요.펫보관함단축창에넣구 2번을 눌러야되는데 곰탱이만 눌러도 바로타질수있게 패치좀 부탁드려요!
2019.01.16. 13:57,데리고 다니는 고양이친구들 퀘를 통해 업글시켜주면 안돼나요?고양이가 점점 약해지면서 샨키빼고는 큰효용이 없어서ㅜㅜ 맴이 아픕니다.퀘를 통해 고양이가 전직하는 컨텐츠는 어렵나용..
2019.01.15. 22:30,운영자님 길크 스킬 ( 웨폰블로킹 )지속시간 30초 인대시간좀 늘려주세요 ... 이좋은 스킬을 사용할수가 없어요 ㅠ
2019.01.15. 19:37,운영자님 로가  상향좀 부탁드립니다.고기방패도? 몽크나? 로가에비해?별 다를것도 없고 그렇다고 어글끄는기술이 다른캐릭에비해?더있느냐 하면 그것도 아니고?어택상향기술도 없어서 보탐시?너무 구림..차라리?로가만있는 무조건 보스가 일정시간?로가만 쳐다보는 어그로?기술이나?땡겨잡는기술 같은거 하나넣어주세요.많은거 안바랍니다..아니면 어택상향기술좀 포함시켜주세요상향좀 부탁드립니다.(--)(__)
2019.01.14. 12:46,동결도대체ㅠ원ㅠ급하게 상점서구매하려는데 동결이라고 시간도 엄청많이남아서 구매못하고ㅠ이럴거면 상점거래를 왜만들어놨나요 알포라도 자유롭게쓰게해야지ㅡㅡㅡ진짜 짜증나네요ㅡㅡㅡ결제하고 알포도 제대로못쓰게만드는건 도대체 왜그러거임!!!!ㅡㅡㅡ처음부터만들지 말던가
2019.01.14. 10:27,"세이지 킬 UI 개선좀.. 개불편함오죽하면, 이사람들은 캐릭터 만들어놓고 써보긴 한뒤에 내보낸건가 하는 생각까지듬무탑기준 돌다보면 내가 화속 세팅일경우 돌다가 보스 속성보고 바꿔야할경우자동시전에서파이어볼트 -> 콜드볼트 교체오토스펠 파이어볼트 -> 콜드볼트 교체정령 소환 화속 -> 수속이짓거리를 계속해야함어떻게 좀 안되나?"
2019.01.12. 13:57,서큐버스펫 문제점서큐퍼스 마공펫인데 물공으로 공격하고 마공스킬도 물공뎀지가 들어가네요 빠른 수정이 필요한것같습니다...
2019.01.12. 09:30,퀘스트 제발 취소좀 만들어주세요퀘스트 취소하는거 제발 만들어주세요?가리는거빼고는 엄청 불편하네요
2019.01.11. 17:06,파티장이 채널이동할때 훈련소나 파멸처럼 체널이동도 따라가기 대면 좋을거같은데요?따라가기했을때 파티재모집하지않고?다시 파티 맺어지면 좀더 원할한 께임이 될듯 합니다.?체널이동에 너무 에너지소모가 많은거같아요 짜증난달까?파티체널이동 버튼이 있으면 좋겠네여
