hashtags,numoflikes,date
"['#라그나로크m', '#엄청팅김', '#인내심한계', '#밥이나먹자']",좋아요 8개,2018년 03월 15일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#아크비숍', '#알지코스', '#코스프레', '#수야', '#말잊못', '#cosplay', '#rg_cos', '#soonyan']",좋아요 50개,2018년 03월 22일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#가이드', '#나도_라그M_마스터']",68,2018년 04월 24일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#길트', '#탈퇴', '#아스신의_비석', '#룬']",좋아요 12개,2018년 05월 30일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그나로크모바일', '#우리들의_새로운_이야기_시작']",좋아요 32개,2018년 01월 31일
"['#애플환불', '#삼국지블랙라벨', '#삼국지M', '#검은사막m', '#뮤오리진2', '#역천', '#운명']","좋아요 1,017개",2018년 06월 18일
"['#라그나로크M', '#라그M', '#윤아', '#폴라로이드', '#이벤트', '#당첨자', '#기분이', '#좋아요', '#일상', '#토요일', '#날씨대박', '#이런날엔', '#놀아야지', '#현실은', '#메롱', '#맞팔', '#선팔']",좋아요 642개,2018년 04월 28일
['#라그나로크m'],좋아요 7개,2018년 03월 17일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#고양이', '#용병', '#실사판', '#심쿵사_주의']",145,2018년 03월 29일
"['#구글환불', '#검은사막', '#검은사막모바일', '#검은사막m', '#라그나로크m', '#여명', '#글로리', '#짐의강산', '#운명']",좋아요 15개,2018년 07월 30일
"['#첫줄_꾸욱', '#혼자시간즐기기', '#혼자있는시간을잘보내는법', '#물고기못잡기만해봐', '#라그나로크m', '#모든순간이너였다', '#이젠내가행복해지는마술을할거야', '#피터래빗전집', '#아이어맨블루투스스피커', '#이쁜토깽이', '#토깽이']",좋아요 53개,2018년 09월 25일
['#라그나로크'],좋아요 51개,2018년 08월 23일
"['#그라비티', '#라그나로크', '#라그나로크M', '#펫', '#포링', '#너_내_펫이_되라']",142,2018년 04월 13일
"['#라그나로크M', '#하이프리스트']",좋아요 47개,2018년 03월 30일
['#라그나로크m'],좋아요 5개,2018년 03월 18일
"['#2017지스타', '#부산', '#벡스코', '#그라비티', '#라그나로크M', '#한가은']",좋아요 22개,2017년 11월 23일
"['#라그나로크m', '#게임폐인들']",좋아요 3개,2018년 03월 31일
"['#부산', '#벡스코', '#지스타', '#모델', '#오아희', '#그라비티', '#라그나로크m', '#카프라']",좋아요 30개,2017년 11월 27일
['#라그나로크m'],좋아요 10개,2019년 05월 01일
"['#윤아', '#서강준', '#라그나로크m', '#ユナ', '#ソガンジュン']",좋아요 154개,2018년 03월 04일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그나로크모바일', '#발렌타인데이', '#초콜릿', '#사탕', '#집_밖은_위험해']",좋아요 44개,2018년 02월 14일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#여름', '#무더위', '#게임', '#배경화면', '#많이_사랑해주세요']",좋아요 14개,2018년 07월 25일
"['#라그나로크m', '#라그m', '#폰게임', '#폰겜']",좋아요 1개,2018년 11월 02일
"['#라그나로크M', '#그라비티', '#Gravity', '#라그M', '#EP50', '#새로운_모험', '#사전예약', '#신규직업', '#사전예약']",좋아요 25개,2018년 11월 07일
"['#조블페이', '#구글기프트카드', '#리니지m', '#검은사막모바일', '#배틀그라운드모바일', '#라그나로크m', '#검은사막m', '#던전앤파이터', '#피파온라인3', '#피파온라인4', '#메이플스토리', '#테일즈위버', '#거상', '#니드포스피드엣지', '#구글플레이', '#구글플레이기프트코드', '#구글플레이기프트카드', '#선팔하면맞팔', '#맞팔', '#선팔맞팔', '#선팔', '#넥슨캐시', '#넥슨카드', '#카이저', '#리니지2레볼루션', '#리니지m다이아', '#리니지m현금', '#리니지엠', '#리니지m대리결제', '#리니지m결제']",좋아요 15개,2018년 05월 28일
"['#라그나로크M', '#RoM', '#라그M', '#갓겜', '#아기자기', '#그랜드오픈']",좋아요 7개,2018년 03월 14일
['#라그나로크m'],좋아요 10개,2018년 03월 12일
"['#2017지스타', '#지스타', '#2017GSTAR', '#Bexco', '#1전시관', '#둘째날', '#11월17일', '#캐논5DMARK4', '#새아빠백통', '#모델', '#한가은', '#가웅베베', '#라그나로크m', '#그라비티', '#올해도', '#수고하셨어요']",좋아요 17개,2017년 11월 22일
"['#첫줄', '#모델', '#레이싱모델', '#소이', '#레이싱모델소이', '#지스타', '#지스타2017', '#그라비티', '#카프라', '#라그나로크m', '#벡스코', '#부산', '#인물', '#인물사진', '#모델사진', '#니콘', '#model', '#racingmodel', '#koreamodel', '#gstar', '#gstar2017', '#gravity', '#bexco', '#concept', '#photo', '#portrait', '#nikon', '#d610']",좋아요 286개,2017년 12월 06일
"['#서강준', '#seokangjun', '#seokangjoon', '#5urprise', '#areyouhumantoo', '#너도인간이니', '#cheeseinthetrap', '#치즈인더트랩', '#entourage', '#안투라지', '#cunningsinglelady', '#slyandsingleagain', '#앙큼한돌싱녀', '#whathappenstomyfamily', '#가족끼리왜이래', '#thesuspicioushousekeeper', '#수상한가정부', '#hwajung', '#화정', '#koreanactor', '#koreandrama', '#kdrama', '#라그나로크M']","2,409",2018년 03월 14일
"['#Repost', '#우윤아좌강준', '#라그나로크M', '#태국에서의추억', '#임윤아', '#서강준', '#얼굴이열일']",좋아요 69개,2018년 03월 08일
"['#그라비티', '#라그나로크', '#라그나로크M', '#펫', '#포링', '#힘든_모험가에게_도움의_손길을']",102,2018년 03월 27일
['#라그나로크M'],"1,577",2018년 03월 07일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#장난감공장', '#크루이저']",좋아요 12개,2018년 05월 28일
"['#모바일게임', '#라그나로크m', '#그라비티', '#꿀잼', '#힘듬후에보람', '#미인', '#길드', '#길드원구함', '#같이해요', '#함께해요', '#인친']",좋아요 12개,2018년 05월 01일
"['#그라비티', '#라그나로크', '#라그나로크M', '#장비', '#꿀팁은_계속_됩니다']",좋아요 27개,2018년 03월 22일
"['#그라비티', '#라그나로크M', '#카프라', '#칼토마']",좋아요 6개,2018년 07월 03일
"['#라그나로크m', '#자동사냥', '#보조프리는거들뿐', '#블랙스미스', '#헌터', '#게임은votopad와홍미로만돌림', '#취미', '#게임', '#모바일', '#자기전상황', '#아이폰으론카톡이랑인스타', '#뷰3는업무용', '#뻘짓', '#공부안하고허송세월', '#자기계발보류중']",좋아요 15개,2018년 03월 31일
"['#애플환불', '#검은사막', '#검은사막모바일', '#검은사막m', '#라그나로크m', '#라그나로크', '#글로리', '#짐의강산', '#군도']","좋아요 1,009개",2018년 04월 13일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#엔딩_영상', '#추억_여행']",좋아요 14개,2018년 04월 30일
"['#라그나로크M', '#그라비티', '#Gravity', '#EP4', '#신상', '#아이템']",좋아요 10개,2018년 07월 30일
"['#gravity', '#그라비티', '#라그나로크M', '#라그M', '#매직크리에이터연', '#3월', '#작은별악단']",134,2019년 03월 13일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#업데이트', '#애니', '#함께_가자_라그나로크']",114,2018년 04월 20일
"['#그라비티', '#라그나로크', '#라그나로크M', '#장비_소켓_추가하기', '#캐릭터강화', '#점점_강해지는_캐릭터', '#소켓_추가_어렵지_않아요']",좋아요 27개,2018년 04월 20일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#카프라', '#에이크라운', '#코스프레', '#아자미유코', '#세젤귀', '#세젤예', '#cosplay', '#azamiyuko']",좋아요 96개,2018년 03월 15일
"['#그라비티', '#라그나로크', '#라그나로크M', '#카드', '#운세']",좋아요 34개,2018년 03월 15일
['#라그나로크m'],좋아요 3개,2018년 04월 30일
['#리니지m'],좋아요 3개,2018년 06월 13일
"['#서강준', '#서프라이즈', '#5urprise', '#라그나로크M', '#메이킹']",157,2018년 03월 27일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#알케미스트', '#크리에이터', '#콜_호문클루스', '#어떤_소환수와_함께할까']",좋아요 22개,2018년 04월 29일
['#라그나로크M'],385,2018년 03월 27일
"['#지스타', '#그라비티', '#라그나로크m', '#한가은']","좋아요 3,508개",2017년 11월 22일
"['#2017지스타', '#지스타', '#지스타2017', '#레이싱모델', '#오아희', '#오밍키', '#카프라', '#그라비티', '#라그나로크M']",좋아요 3개,2017년 11월 22일
"['#겜중독아님', '#영웅길드', '#창공불새', '#모바일게임']",좋아요 17개,2018년 05월 09일
"['#안무도모르는애껴줘서고마워', '#선미', '#가시나', '#컨닝중', '#동선방해', '#민폐녀', '#미안해', '#카프라', '#5인조', '#걸그룹', '#벡스코', '#dance', '#댄싱머신', '#bexco', '#지스타', '#gstar', '#라그나로크M', '#그라비티', '#gravity', '#daily', '#instadaily', '#instagood', '#instalike', '#instagram', '#model', '#korea', '#seoul', '#busan', '#부산']",좋아요 248개,2017년 11월 25일
"['#애플환불', '#검은사막', '#검은사막모바일', '#검은사막m', '#라그나로크m', '#라그나로크', '#삼국지m', '#삼국지']",좋아요 992개,2018년 04월 10일
"['#SNSD', '#GirlsGeneration', '#소녀시대', '#少女時代', '#융융', '#林允?', '#ユナ', '#윤아', '#임윤아', '#yoona__lim', '#TheK2', '#Bangkok', '#Thailand', '#seokangjun']",좋아요 912개,2018년 03월 07일
"['#그라비티', '#라그나로크M', '#라그M', '#11월', '#배경화면', '#EP5', '#업데이트', '#죽은자의도시', '#니플헤임']",좋아요 18개,2018년 11월 07일
"['#애플환불', '#아크로드어웨이크', '#검은사막모바일', '#검은사막m', '#라그나로크m', '#여명', '#글로리', '#짐의강산', '#운명']","좋아요 1,060개",2018년 05월 30일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#스타벅스', '#아메리카노', '#댓글', '#이벤트', '#모험가님들의_단합심']",좋아요 54개,2018년 04월 20일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#업데이트', '#신규의상', '#루티에', '#산타', '#선물']",110,2018년 12월 03일
"['#라그나로크m', '#모바일', '#게임', '#game', '#ragnarok']",좋아요 10개,2018년 04월 13일
['#라그나로크m'],좋아요 45개,2018년 04월 09일
"['#2017지스타', '#그라비티', '#라그나로크m', '#한가은', '#가웅베베']",좋아요 119개,2017년 11월 28일
"['#2017지스타', '#지스타', '#지스타2017', '#레이싱모델', '#댕댕', '#이다연', '#소이', '#카프라', '#그라비티', '#라그나로크M']",좋아요 3개,2017년 11월 22일
"['#라그나로크', '#라그나로크m', '#라그나로크온라인', '#sniper', '#SEA', '#ultraman', '#potd', '#asian', '#인도네시아', '#게임', '#이뻐', '#귀여워', '#ragnarok', '#ragnarokmobile', '#ragnarokonline', '#ragnarokmeternallove', '#aiko', '#사랑']",좋아요 34개,2019년 03월 18일
"['#Repost', '#그라비티', '#라그나로크', '#라그나로크M', '#임윤아', '#서강준', '#5자_토크', '#벌레_미워', '#하루만_네_품의_포링이_되고_싶어']",98,2018년 03월 12일
"['#구글환불', '#애플환불', '#구글환불대행', '#모바일게임', '#모바일게임환불', '#위드신의날개', '#구글플레이', '#플레이스토어', '#환불대행', '#일상', '#데일리', '#검은사막m', '#라그나로크m', '#소통', '#선팔하면맞팔', '#선팔맞팔', '#팔로우미', '#환불메카']",좋아요 2개,2018년 05월 17일
['#라그나로크m'],좋아요 7개,2018년 03월 24일
"['#100만', '#사전예약', '#라그나로크M', '#라그M', '#함께해요', '#라잇_놔우']",좋아요 47개,2018년 02월 23일
"['#리니지m', '#검은사막모바일', '#라그나로크m', '#리니지2레볼루션', '#구글기프트카드', '#구글기프트코드', '#대리결제', '#넥슨', '#모두의마블', '#게임', '#셀카', '#셀스타그램', '#럽스타그램', '#구글기프트판매', '#구글기프트카드판매', '#투엔페이', '#2NPAY', '#다크에덴', '#다크에덴m', '#오크', '#미르의전설', '#블소', '#블소m', '#블레이드앤소울']",좋아요 7개,2018년 11월 27일
"['#애플환불', '#삼국지블랙라벨', '#삼국지M', '#검은사막m', '#뮤오리진2', '#역천', '#운명', '#좀비고등학교']","좋아요 1,032개",2018년 06월 18일
"['#아푸지마', '#g_star', '#카프라', '#모델', '#2017지스타', '#오아희', '#잇수다', '#모델에이전시', '#photo', '#지스타', '#그라비티', '#라그나로크m', '#댄스', '#공연', '#이너스컴', '#포즈', '#게임쇼', '#gameshow', '#gravity']","좋아요 2,240개",2017년 11월 25일
"['#그라비티', '#라그나로크', '#라그나로크M', '#루티에마을', '#숨은_MVP_몬스터', '#루나틱은_비밀을_알고있어요']",좋아요 17개,2018년 05월 24일
"['#2017지스타', '#2017지스타', '#지스타', '#Gstar', '#부산', '#벡스코', '#그라비티', '#한가은', '#라그나로크m', '#1호기는늦어요']",좋아요 22개,2017년 12월 06일
"['#애플환불', '#검은사막', '#검은사막모바일', '#검은사막m', '#라그나로크m', '#라그나로크', '#글로리', '#짐의강산']","좋아요 1,017개",2018년 04월 14일
"['#라그나로크m', '#스타일', '#변경', '#ㅋㅋㅋㅋ']",좋아요 8개,2019년 01월 16일
"['#구글기프트카드', '#구글기프트코드', '#구글플레이', '#리니지m', '#리니지', '#리니지2레볼루션', '#블레이드앤소울', '#블레이드랜소울레볼루션', '#블소', '#블소레볼루션', '#트라하', '#검은사막', '#검은사막m', '#테라m', '#다크에덴', '#다크에덴m', '#뮤오리진2', '#아레나m', '#라그나로크m', '#모마', '#모두의마블', '#메이플스토리m', '#메이플m', '#선팔하면맞팔', '#맞팔', '#겜마티켓']",좋아요 6개,2019년 05월 26일
"['#라그나로크m', '#크루세이더될놈', '#소드맨', '#가하헤이']",좋아요 13개,2018년 03월 29일
"['#게임', '#라그나로크m', '#죽는거최강']",좋아요 13개,2018년 03월 15일
"['#지스타', '#지스타2017', '#그라비티', '#라그나로크', '#라그나로크m', '#gravity', '#mc', '#model', '#ops', '#glamlook', '#fashion', '#mood', '#ootd', '#model', '#actress', '#selfie', '#selca', '#셀피', '#일스타그램', '#모델', '#배우', '#엠씨', '#단발', '#헤어스타일', '#단발병']",좋아요 723개,2017년 11월 22일
"['#레어템', '#양갈래머리', '#양갈래', '#마지막날', '#g_star', '#카프라', '#모델', '#2017지스타', '#오아희', '#잇수다', '#모델에이전시', '#photo', '#지스타', '#그라비티', '#라그나로크m', '#댄스', '#공연', '#이너스컴', '#포즈', '#게임쇼', '#gameshow', '#gravity']","좋아요 1,352개",2017년 11월 23일
"['#지스타', '#김하율', '#그라비티', '#라그나로크M']",좋아요 37개,2017년 11월 21일
"['#라그나로크m', '#Y2H', '#yeasttwohybrid']",좋아요 15개,2018년 04월 01일
"['#나름순수한영혼', '#이아니라', '#백치미김민정이', '#레알3시간동안게임꿀잼']",좋아요 51개,2018년 06월 03일
"['#라그나로크m', '#겜순이']",좋아요 11개,2018년 05월 05일
"['#라그나로크', '#라그나로크m', '#브로치']",0,2018년 06월 22일
"['#라그나로크M', '#그라비티', '#Gravity', '#펫', '#외형', '#변경', '#착용', '#아이템', '#무엇', '#잘키운_펫_뿜뿜미_터지게']",좋아요 19개,2018년 04월 06일
"['#라그나로크m', '#영웅길드', '#생일선물', '#스타벅스', '#기프트콘']",좋아요 10개,2019년 01월 19일
"['#ガンジュン', '#강준', '#5urprise', '#사프라이즈', '#5urprise韓?俳優グル?プ', '#ソガンジュン', '#서강준', '#seokangjun', '#seokangjoon', '#徐康俊', '#韓?俳優', '#韓?ドラマ', '#韓流', '#華政', '#韓?語', '#한국어공부', '#韓流', '#hallyu', '#韓?旅行', '#ソウル旅行', '#서울여행', '#루미の韓?旅行記', '#라그나로크M', '#게임', '#모바일게임', '#RAGNAROKmobile', '#gravity', '#onlinegame', '#yoona']",좋아요 97개,2018년 03월 30일
"['#김하유리', '#아크비숑', '??#model', '#레드레드']",좋아요 193개,2018년 01월 31일
"['#흔들린셔터', '??#mode', '#sexy', '#cute', '??#2017gsta', '#지스타', '#gravity', '#라그나로크m', '#오밍키', '#레이싱모델', '#오아희', '??#omingky12', '#Nikon', '#f4f', '#l4l', '#follow', '#dslr', '#pic']",좋아요 152개,2017년 11월 21일
"['#부산', '#벡스코', '#지스타', '#모델', '#이송빈', '#그라비티', '#라그나로크m']",좋아요 15개,2017년 11월 27일
"['#일상', '#게임', '#로스트아크', '#라그나로크m', '#듀얼모니터', '#겜스타그램', '#겜순이', '#이제겨우', '#제대로', '#해보는', '#로아', '#재밌네']",좋아요 54개,2018년 12월 16일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#포링', '#뇌구조']",좋아요 18개,2018년 04월 04일
"['#라그나로크m', '#코스모브레이커', '#발동', '#ㅎㅎㅎ']",144,2018년 10월 05일
"['#구글기프트카드', '#구글기프트코드', '#구글플레이', '#리니지m', '#리니지', '#리니지2레볼루션', '#블레이드앤소울', '#블레이드랜소울레볼루션', '#블소', '#블소레볼루션', '#트라하', '#검은사막', '#검은사막m', '#테라m', '#다크에덴', '#다크에덴m', '#뮤오리진2', '#아레나m', '#라그나로크m', '#모마', '#모두의마블', '#메이플스토리m', '#메이플m', '#선팔하면맞팔', '#맞팔', '#겜마티켓']",좋아요 8개,2019년 05월 30일
"['#한가은', '#지스타', '#라그나로크m', '#그라비티', '#nikon', '#200VR', '#model', '#모델', '#니콘', '#레이싱모델']",좋아요 37개,2017년 11월 22일
"['#라그나로크m', '#하이프리스트', '#전직', '#힐러', '#보조']",좋아요 11개,2018년 04월 24일
"['#그라비티', '#라그나로크', '#라그나로크M', '#영수증', '#라그나로크M의_영수증', '#제니는_소중한_것이다']",좋아요 32개,2018년 03월 13일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#프론테라', '#성별', '#전환', '#마법사']",좋아요 17개,2018년 06월 11일
"['#아웃백', '#혼밥', '#카카두그릴러', '#레몬에이드', '#신랑과게임', '#라그나로크m']",좋아요 6개,2018년 08월 21일
"['#라그나로크', '#라그나로크M', '#게임은개에기대서']",좋아요 20개,2018년 03월 18일
"['#라그나로크M', '#윤아', '#윤아싸인', '#윤아폴라로이드', '#소녀시대', '#라그M', '#융스타그램']",좋아요 219개,2018년 04월 06일
"['#지스타', '#그라비티', '#라그나로크m', '#한가은']","좋아요 4,303개",2017년 11월 24일
"['#라그나로크m', '#팬아트', '#NILIN', '#팬아트', '#fanart', '#그림', '#그림스타그램', '#일러', '#일러스트트', '#illust', '#illustration', '#art', '#artwork', '#drawing', '#그림인장', '#커미션', '#인장판매']",좋아요 16개,2018년 11월 22일
"['#라그나로크m', '#라그나로크모바일', '#game', '#모바일게임', '#포링', '#스나이퍼', '#라그', '#mmorpg', '#gravitykorea']",좋아요 5개,2018년 11월 01일
"['#kimhayul', '#김하율', '#model', '#일상', '#daily', '#컨셉', '#얼스타그램', '#인물사진', '#2017지스타', '#벡스코', '#라그나로크m', '#그라비티', '#행사', '#사진', '#afreecatvBJ', '#ootd', '#concept', '#photoshop', '#photo']",좋아요 177개,2017년 11월 23일
"['#라그나로크m', '#팔라딘']",좋아요 34개,2018년 05월 02일
"['#snsd', '#GirlsGeneration', '#소녀시대', '#윤아', '#yoona', '#林允?', '#seokangjoon', '#서강준', '#라그나로크', '#라그나로크M', '#slyagameendorsement']","좋아요 1,145개",2018년 03월 27일
"['#구글기프트카드', '#구글기프트코드', '#구글플레이', '#리니지m', '#리니지', '#리니지2레볼루션', '#블레이드앤소울', '#블레이드랜소울레볼루션', '#블소', '#블소레볼루션', '#트라하', '#검은사막', '#검은사막m', '#테라m', '#다크에덴', '#다크에덴m', '#뮤오리진2', '#아레나m', '#라그나로크m', '#모마', '#모두의마블', '#메이플스토리m', '#메이플m', '#선팔하면맞팔', '#맞팔', '#겜마티켓']",좋아요 4개,2019년 05월 26일
"['#그라비티', '#라그나로크', '#라그나로크M', '#맵', '#프론테라', '#식상', '#프론테라_속에_들어와있는_기분', '#이것이_바로_중독']",203,2018년 03월 10일
"['#그라비티', '#라그나로크', '#라그나로크M', '#카메라', '#사진찍기', '#셀피', '#포토그래퍼', '#꿀팁은_계속_됩니다']",좋아요 18개,2018년 03월 26일
"['#그라비티', '#라그나로크', '#라그나로크M', '#별자리', '#운세', '#우정', '#다른_모험가와_함께_오세요']",103,2018년 04월 13일
"['#소이', '#모델소이', '#카프라', '#지스타', '#지스타2017', '#gstar', '#gstar2017', '#벡스코', '#그라비티', '#라그나로크', '#라그나로크m']",좋아요 30개,2017년 12월 30일
['#리니지m'],좋아요 16개,2018년 03월 21일
['#지지페이'],좋아요 16개,2018년 06월 04일
"['#라그나로크m', '#총각일때']",좋아요 10개,2018년 06월 29일
"['#그라비티', '#라그나로크M', '#카프라', '#칼토마']",좋아요 14개,2018년 07월 03일
"['[#서강준', '#라그나로크M', '#광고촬영현장', '#판타지오', '#뷰디오', '#화이트데이', '#선물같은남자', '#사탕말고서강준', '#InstaRepost']",234,2018년 03월 14일
"['#라그나로크m', '#게임조하', '#게임열심히해라']",좋아요 9개,2018년 05월 28일
"['#초보맘', '#오돌뼈', '#불닭볶음면', '#술고프지만', '#참을게', '#맥콜먹고', '#취했던', '#그때로', '#돌아가기', '#야식', '#저녁', '#부부', '#부부스타그램', '#행복', '#사랑', '#예비맘', '#라그나로크M']",좋아요 48개,2018년 04월 11일
"['#애플환불', '#삼국지블랙라벨', '#삼국지M', '#검은사막m', '#뮤오리진2', '#역천', '#운명', '#왕이되는자']",좋아요 55개,2018년 06월 27일
"['#레이싱모델', '#오아희', '#밍키', '#PPL', '#지스타', '#그라비티', '#라그나로크M', '#세젤예', '#세젤귀', '#언제나이쁨', '#미녀', '#모델', '#니콘', '#d7200', '#인물사진', '#초보진사그램', '#내가찍음', '#인증샷', '#ff', '#photographer', '#sexy', '#snap', '#korea', '#model', '#racingmodel']",좋아요 121개,2017년 12월 07일
['#리니지m'],좋아요 5개,2018년 03월 19일
"['#프리미어볼캡', '#Repost', '#밍키패피', '#민트성애자', '#공항패션', '#그라비티', '#라그나로크', '#라그나로크m', '#모자쇼핑몰', '#모자브랜드', '#프리미어', '#hat', '#여자볼캡', '#민트', '#볼캡', '#스냅백', '#premi3r', '#모자', '#cap', '#ballcap', '#캡모자', '#레이싱모델', '#사진', '#셀스타그램', '#얼스타그램', '#데일리룩', '#벨벳', '#볼캡코디', '#겨울패션', '#빅사이즈모자']",좋아요 16개,2018년 01월 26일
"['#그라비티', '#라그나로크', '#라그나로크M', '#용병과함께', '#새로운_라그나로크M_세상이_열린다']",좋아요 30개,2018년 03월 12일
"['#게임사운드트랙', '#라그나로크m']",좋아요 2개,2018년 12월 27일
"['#그라비티', '#라그나로크', '#라그나로크M', '#디저트', '#후식', '#노점상_아니니_몇_제니인지_묻지_말아요']",139,2018년 03월 13일
"['#그라비티', '#라그나로크M', '#라그M', '#매직_크리에이터_연', '#동방의_바람소리', '#동양의_미']",114,2018년 08월 16일
"['#그라비티', '#라그나로크', '#라그나로크M', '#윤식당', '#라그M식당']",좋아요 25개,2018년 03월 09일
"['#맛집', '#서울', '#강남', '#패션', '#청담', '#논현', '#신사', '#구글', '#구글환불', '#구글환불대행', '#애플', '#애플환불대행', '#애플환불', '#모바일게임', '#모바일게임환불', '#뮤오리진2', '#이터널라이트', '#검은사막m', '#리니지m', '#모두의마블', '#프렌즈마블', '#삼국지m', '#오빠2', '#이카루스m', '#라그나로크m']",좋아요 11개,2018년 06월 28일
"['#오아희', '#g_star', '#모델', '#2017지스타', '#잇수다', '#모델에이전시', '#photo', '#지스타', '#그라비티', '#라그나로크m', '#댄스', '#공연', '#이너스컴', '#포즈', '#게임쇼', '#gameshow', '#gravity']","좋아요 1,205개",2017년 12월 05일
"['#라그나로크m', '#라그m', '#모바일게임', '#프론테아', '#광장', '#밤', '#페코페코', '#요니', '#야외', '#축제', '#불꽃놀이', '#산수찍기', '#페이욘머리', '#사진찍기', '#다산수', '#기록사진', '#모험수첩']",좋아요 9개,2019년 01월 21일
"['#그라비티', '#라그나로크', '#라그나로크M', '#전투', '#레벨업', '#사냥터', '#버프', '#요리']",좋아요 28개,2018년 03월 20일
"['#애플환불', '#검은사막', '#검은사막모바일', '#검은사막m', '#라그나로크m', '#천녀유혼', '#글로리', '#짐의강산', '#운명']","좋아요 1,009개",2018년 05월 11일
"['#2017지스타', '#부산', '#벡스코', '#그라비티', '#라그나로크M', '#한가은']",좋아요 22개,2017년 11월 23일
"['#가웅베베', '#아크비숑', '??#model']",좋아요 124개,2018년 01월 31일
"['#YoonA', '#imyoona', '#snsd', '#girlsgeneration', '#ragnarok', '#서강준', '#seokangjun', '#seokangjoon', '#5urprise', '#areyouhumantoo', '#너도인간이니', '#cheeseinthetrap', '#치즈인더트랩', '#entourage', '#안투라지', '#cunningsinglelady', '#slyandsingleagain', '#앙큼한돌싱녀', '#whathappenstomyfamily', '#가족끼리왜이래', '#thesuspicioushousekeeper', '#수상한가정부', '#hwajung', '#화정', '#koreanactor', '#koreandrama', '#kdrama', '#라그나로크M']",좋아요 104개,2018년 03월 14일
"['#라그나로크M', '#라그M', '#그라비티', '#Gravity', '#남과여', '#결혼', '#무엇', '#의미', '#영원한사랑']",좋아요 18개,2018년 05월 24일
"['#그라비티', '#라그나로크', '#라그나로크M', '#게임', '#모바일게임', '#매일이_주말이었으면']",좋아요 27개,2018년 03월 24일
"['#구글기프트카드', '#구글기프트코드', '#구글플레이', '#리니지m', '#리니지', '#리니지2레볼루션', '#블레이드앤소울', '#블레이드랜소울레볼루션', '#블소', '#블소레볼루션', '#트라하', '#검은사막', '#검은사막m', '#테라m', '#다크에덴', '#다크에덴m', '#뮤오리진2', '#아레나m', '#라그나로크m', '#모마', '#모두의마블', '#메이플스토리m', '#메이플m', '#선팔하면맞팔', '#맞팔', '#겜마티켓']",좋아요 10개,2019년 05월 21일
"['#YoonA', '#imyoona', '#snsd', '#girlsgeneration', '#ragnarok', '#서강준', '#seokangjun', '#seokangjoon', '#5urprise', '#areyouhumantoo', '#너도인간이니', '#cheeseinthetrap', '#치즈인더트랩', '#entourage', '#안투라지', '#cunningsinglelady', '#slyandsingleagain', '#앙큼한돌싱녀', '#whathappenstomyfamily', '#가족끼리왜이래', '#thesuspicioushousekeeper', '#수상한가정부', '#hwajung', '#화정', '#koreanactor', '#koreandrama', '#kdrama', '#라그나로크M']",좋아요 119개,2018년 03월 14일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#머리띠', '#모자', '#꾸미기']",91,2018년 04월 14일
"['#곽윤기', '#김흥국', '#신성우', '#최예슬', '#이상화', '#스티븐호킹', '#한끼줍쇼', '#정미경', '#이승훈', '#라디오스타', '#이명박', '#최재우', '#이재명', '#중소기업진흥공단', '#라그나로크m', '#타계', '#전미라', '#김보름', '#수요미식회순두부', '#롤챔스']",좋아요 1개,2018년 03월 14일
"['?#아이폰', '#레고', '#lego', '#iphone', '#lphone6', '#광고', '#라그나로크m', '#최저임금_해결사__일자리_안전자금']",좋아요 12개,2018년 02월 26일
"['#2017지스타', '#지스타', '#지스타2017', '#레이싱모델', '#댕댕', '#이다연', '#카프라', '#그라비티', '#라그나로크M']",좋아요 6개,2017년 11월 22일
"['#그라비티', '#라그나로크', '#라그나로크M', '#킹_포링', '#카드', '#꿀팁은_계속_됩니다']",좋아요 22개,2018년 03월 23일
['#라그나로크M'],299,2018년 03월 16일
"['#라그나로크m', '#라그나로크m쿠폰', '#라그나로크', '#라그나로크모바일', '#라그나로크m영원한사랑', '#구글기프트카드', '#구글플레이기프트카드', '#구글기프트카드구매', '#구글기프트카드온라인구매', '#라그나로크m구글기프트카드', '#구글카드', '#구글기프트카드선물', '#구글기프트카드할인']",좋아요 7개,2018년 05월 27일
['#리니지m'],좋아요 7개,2018년 07월 29일
